sku,name,description,price
SKU1,"Product 1","Description for product 1",861
SKU2,"Product 2","Description for product 2",969
SKU3,"Product 3","Description for product 3",42
SKU4,"Product 4","Description for product 4",526
SKU5,"Product 5","Description for product 5",112
SKU6,"Product 6","Description for product 6",800
SKU7,"Product 7","Description for product 7",590
SKU8,"Product 8","Description for product 8",646
SKU9,"Product 9","Description for product 9",495
SKU10,"Product 10","Description for product 10",956
SKU11,"Product 11","Description for product 11",427
SKU12,"Product 12","Description for product 12",532
SKU13,"Product 13","Description for product 13",215
SKU14,"Product 14","Description for product 14",801
SKU15,"Product 15","Description for product 15",911
SKU16,"Product 16","Description for product 16",447
SKU17,"Product 17","Description for product 17",777
SKU18,"Product 18","Description for product 18",263
SKU19,"Product 19","Description for product 19",393
SKU20,"Product 20","Description for product 20",982
SKU21,"Product 21","Description for product 21",174
SKU22,"Product 22","Description for product 22",18
SKU23,"Product 23","Description for product 23",985
SKU24,"Product 24","Description for product 24",552
SKU25,"Product 25","Description for product 25",812
SKU26,"Product 26","Description for product 26",254
SKU27,"Product 27","Description for product 27",591
SKU28,"Product 28","Description for product 28",437
SKU29,"Product 29","Description for product 29",601
SKU30,"Product 30","Description for product 30",697
SKU31,"Product 31","Description for product 31",794
SKU32,"Product 32","Description for product 32",738
SKU33,"Product 33","Description for product 33",811
SKU34,"Product 34","Description for product 34",508
SKU35,"Product 35","Description for product 35",915
SKU36,"Product 36","Description for product 36",849
SKU37,"Product 37","Description for product 37",945
SKU38,"Product 38","Description for product 38",298
SKU39,"Product 39","Description for product 39",956
SKU40,"Product 40","Description for product 40",817
SKU41,"Product 41","Description for product 41",640
SKU42,"Product 42","Description for product 42",413
SKU43,"Product 43","Description for product 43",587
SKU44,"Product 44","Description for product 44",780
SKU45,"Product 45","Description for product 45",900
SKU46,"Product 46","Description for product 46",347
SKU47,"Product 47","Description for product 47",261
SKU48,"Product 48","Description for product 48",275
SKU49,"Product 49","Description for product 49",420
SKU50,"Product 50","Description for product 50",689
SKU51,"Product 51","Description for product 51",419
SKU52,"Product 52","Description for product 52",1000
SKU53,"Product 53","Description for product 53",251
SKU54,"Product 54","Description for product 54",968
SKU55,"Product 55","Description for product 55",192
SKU56,"Product 56","Description for product 56",669
SKU57,"Product 57","Description for product 57",827
SKU58,"Product 58","Description for product 58",940
SKU59,"Product 59","Description for product 59",637
SKU60,"Product 60","Description for product 60",530
SKU61,"Product 61","Description for product 61",538
SKU62,"Product 62","Description for product 62",752
SKU63,"Product 63","Description for product 63",394
SKU64,"Product 64","Description for product 64",581
SKU65,"Product 65","Description for product 65",115
SKU66,"Product 66","Description for product 66",940
SKU67,"Product 67","Description for product 67",72
SKU68,"Product 68","Description for product 68",385
SKU69,"Product 69","Description for product 69",18
SKU70,"Product 70","Description for product 70",610
SKU71,"Product 71","Description for product 71",133
SKU72,"Product 72","Description for product 72",828
SKU73,"Product 73","Description for product 73",952
SKU74,"Product 74","Description for product 74",621
SKU75,"Product 75","Description for product 75",25
SKU76,"Product 76","Description for product 76",76
SKU77,"Product 77","Description for product 77",428
SKU78,"Product 78","Description for product 78",722
SKU79,"Product 79","Description for product 79",757
SKU80,"Product 80","Description for product 80",980
SKU81,"Product 81","Description for product 81",400
SKU82,"Product 82","Description for product 82",217
SKU83,"Product 83","Description for product 83",180
SKU84,"Product 84","Description for product 84",983
SKU85,"Product 85","Description for product 85",317
SKU86,"Product 86","Description for product 86",577
SKU87,"Product 87","Description for product 87",32
SKU88,"Product 88","Description for product 88",16
SKU89,"Product 89","Description for product 89",842
SKU90,"Product 90","Description for product 90",182
SKU91,"Product 91","Description for product 91",279
SKU92,"Product 92","Description for product 92",851
SKU93,"Product 93","Description for product 93",782
SKU94,"Product 94","Description for product 94",380
SKU95,"Product 95","Description for product 95",774
SKU96,"Product 96","Description for product 96",161
SKU97,"Product 97","Description for product 97",698
SKU98,"Product 98","Description for product 98",489
SKU99,"Product 99","Description for product 99",585
SKU100,"Product 100","Description for product 100",207
SKU101,"Product 101","Description for product 101",642
SKU102,"Product 102","Description for product 102",807
SKU103,"Product 103","Description for product 103",154
SKU104,"Product 104","Description for product 104",279
SKU105,"Product 105","Description for product 105",823
SKU106,"Product 106","Description for product 106",312
SKU107,"Product 107","Description for product 107",908
SKU108,"Product 108","Description for product 108",429
SKU109,"Product 109","Description for product 109",888
SKU110,"Product 110","Description for product 110",262
SKU111,"Product 111","Description for product 111",457
SKU112,"Product 112","Description for product 112",248
SKU113,"Product 113","Description for product 113",888
SKU114,"Product 114","Description for product 114",134
SKU115,"Product 115","Description for product 115",556
SKU116,"Product 116","Description for product 116",925
SKU117,"Product 117","Description for product 117",618
SKU118,"Product 118","Description for product 118",797
SKU119,"Product 119","Description for product 119",564
SKU120,"Product 120","Description for product 120",951
SKU121,"Product 121","Description for product 121",892
SKU122,"Product 122","Description for product 122",718
SKU123,"Product 123","Description for product 123",693
SKU124,"Product 124","Description for product 124",542
SKU125,"Product 125","Description for product 125",738
SKU126,"Product 126","Description for product 126",11
SKU127,"Product 127","Description for product 127",387
SKU128,"Product 128","Description for product 128",321
SKU129,"Product 129","Description for product 129",851
SKU130,"Product 130","Description for product 130",178
SKU131,"Product 131","Description for product 131",165
SKU132,"Product 132","Description for product 132",136
SKU133,"Product 133","Description for product 133",576
SKU134,"Product 134","Description for product 134",938
