sku,name,description,price
SKU1,"Product 1","Description for product 1",806
SKU2,"Product 2","Description for product 2",482
SKU3,"Product 3","Description for product 3",311
SKU4,"Product 4","Description for product 4",571
SKU5,"Product 5","Description for product 5",564
SKU6,"Product 6","Description for product 6",449
SKU7,"Product 7","Description for product 7",940
SKU8,"Product 8","Description for product 8",80
SKU9,"Product 9","Description for product 9",814
SKU10,"Product 10","Description for product 10",294
SKU11,"Product 11","Description for product 11",355
SKU12,"Product 12","Description for product 12",55
SKU13,"Product 13","Description for product 13",737
SKU14,"Product 14","Description for product 14",320
SKU15,"Product 15","Description for product 15",419
SKU16,"Product 16","Description for product 16",598
SKU17,"Product 17","Description for product 17",328
SKU18,"Product 18","Description for product 18",99
SKU19,"Product 19","Description for product 19",731
SKU20,"Product 20","Description for product 20",77
SKU21,"Product 21","Description for product 21",629
SKU22,"Product 22","Description for product 22",601
SKU23,"Product 23","Description for product 23",510
SKU24,"Product 24","Description for product 24",387
SKU25,"Product 25","Description for product 25",625
SKU26,"Product 26","Description for product 26",752
SKU27,"Product 27","Description for product 27",404
SKU28,"Product 28","Description for product 28",58
SKU29,"Product 29","Description for product 29",624
SKU30,"Product 30","Description for product 30",590
SKU31,"Product 31","Description for product 31",921
SKU32,"Product 32","Description for product 32",36
SKU33,"Product 33","Description for product 33",131
SKU34,"Product 34","Description for product 34",656
SKU35,"Product 35","Description for product 35",449
SKU36,"Product 36","Description for product 36",613
SKU37,"Product 37","Description for product 37",66
SKU38,"Product 38","Description for product 38",94
SKU39,"Product 39","Description for product 39",788
SKU40,"Product 40","Description for product 40",120
SKU41,"Product 41","Description for product 41",925
SKU42,"Product 42","Description for product 42",282
SKU43,"Product 43","Description for product 43",732
SKU44,"Product 44","Description for product 44",388
SKU45,"Product 45","Description for product 45",954
SKU46,"Product 46","Description for product 46",692
SKU47,"Product 47","Description for product 47",891
SKU48,"Product 48","Description for product 48",908
SKU49,"Product 49","Description for product 49",648
SKU50,"Product 50","Description for product 50",316
SKU51,"Product 51","Description for product 51",241
SKU52,"Product 52","Description for product 52",592
SKU53,"Product 53","Description for product 53",668
SKU54,"Product 54","Description for product 54",323
SKU55,"Product 55","Description for product 55",930
SKU56,"Product 56","Description for product 56",540
SKU57,"Product 57","Description for product 57",557
SKU58,"Product 58","Description for product 58",826
SKU59,"Product 59","Description for product 59",577
SKU60,"Product 60","Description for product 60",408
SKU61,"Product 61","Description for product 61",405
SKU62,"Product 62","Description for product 62",377
SKU63,"Product 63","Description for product 63",181
SKU64,"Product 64","Description for product 64",633
SKU65,"Product 65","Description for product 65",691
SKU66,"Product 66","Description for product 66",993
SKU67,"Product 67","Description for product 67",145
SKU68,"Product 68","Description for product 68",523
SKU69,"Product 69","Description for product 69",942
SKU70,"Product 70","Description for product 70",983
SKU71,"Product 71","Description for product 71",734
SKU72,"Product 72","Description for product 72",34
SKU73,"Product 73","Description for product 73",982
SKU74,"Product 74","Description for product 74",832
SKU75,"Product 75","Description for product 75",484
SKU76,"Product 76","Description for product 76",441
SKU77,"Product 77","Description for product 77",911
SKU78,"Product 78","Description for product 78",199
SKU79,"Product 79","Description for product 79",353
SKU80,"Product 80","Description for product 80",364
SKU81,"Product 81","Description for product 81",408
SKU82,"Product 82","Description for product 82",868
SKU83,"Product 83","Description for product 83",425
SKU84,"Product 84","Description for product 84",423
SKU85,"Product 85","Description for product 85",773
SKU86,"Product 86","Description for product 86",358
SKU87,"Product 87","Description for product 87",140
SKU88,"Product 88","Description for product 88",71
SKU89,"Product 89","Description for product 89",69
SKU90,"Product 90","Description for product 90",760
SKU91,"Product 91","Description for product 91",796
SKU92,"Product 92","Description for product 92",852
SKU93,"Product 93","Description for product 93",867
SKU94,"Product 94","Description for product 94",350
SKU95,"Product 95","Description for product 95",608
SKU96,"Product 96","Description for product 96",735
SKU97,"Product 97","Description for product 97",876
SKU98,"Product 98","Description for product 98",85
SKU99,"Product 99","Description for product 99",731
SKU100,"Product 100","Description for product 100",403
SKU101,"Product 101","Description for product 101",654
SKU102,"Product 102","Description for product 102",169
SKU103,"Product 103","Description for product 103",334
SKU104,"Product 104","Description for product 104",754
SKU105,"Product 105","Description for product 105",268
SKU106,"Product 106","Description for product 106",994
SKU107,"Product 107","Description for product 107",932
SKU108,"Product 108","Description for product 108",782
SKU109,"Product 109","Description for product 109",12
SKU110,"Product 110","Description for product 110",14
SKU111,"Product 111","Description for product 111",726
SKU112,"Product 112","Description for product 112",688
SKU113,"Product 113","Description for product 113",356
SKU114,"Product 114","Description for product 114",384
SKU115,"Product 115","Description for product 115",99
SKU116,"Product 116","Description for product 116",826
SKU117,"Product 117","Description for product 117",784
SKU118,"Product 118","Description for product 118",978
SKU119,"Product 119","Description for product 119",853
SKU120,"Product 120","Description for product 120",191
SKU121,"Product 121","Description for product 121",785
SKU122,"Product 122","Description for product 122",24
SKU123,"Product 123","Description for product 123",224
SKU124,"Product 124","Description for product 124",318
SKU125,"Product 125","Description for product 125",255
SKU126,"Product 126","Description for product 126",765
SKU127,"Product 127","Description for product 127",853
SKU128,"Product 128","Description for product 128",893
SKU129,"Product 129","Description for product 129",522
SKU130,"Product 130","Description for product 130",439
SKU131,"Product 131","Description for product 131",820
SKU132,"Product 132","Description for product 132",694
SKU133,"Product 133","Description for product 133",867
SKU134,"Product 134","Description for product 134",652
SKU135,"Product 135","Description for product 135",192
SKU136,"Product 136","Description for product 136",148
SKU137,"Product 137","Description for product 137",45
SKU138,"Product 138","Description for product 138",879
SKU139,"Product 139","Description for product 139",473
SKU140,"Product 140","Description for product 140",984
SKU141,"Product 141","Description for product 141",362
SKU142,"Product 142","Description for product 142",628
SKU143,"Product 143","Description for product 143",381
SKU144,"Product 144","Description for product 144",100
SKU145,"Product 145","Description for product 145",413
SKU146,"Product 146","Description for product 146",207
