sku,name,description,price
SKU1,"Product 1","Description for product 1",591
SKU2,"Product 2","Description for product 2",802
SKU3,"Product 3","Description for product 3",207
SKU4,"Product 4","Description for product 4",70
SKU5,"Product 5","Description for product 5",918
SKU6,"Product 6","Description for product 6",967
SKU7,"Product 7","Description for product 7",916
SKU8,"Product 8","Description for product 8",964
SKU9,"Product 9","Description for product 9",453
SKU10,"Product 10","Description for product 10",161
SKU11,"Product 11","Description for product 11",523
SKU12,"Product 12","Description for product 12",699
SKU13,"Product 13","Description for product 13",40
SKU14,"Product 14","Description for product 14",327
SKU15,"Product 15","Description for product 15",526
SKU16,"Product 16","Description for product 16",943
SKU17,"Product 17","Description for product 17",354
SKU18,"Product 18","Description for product 18",603
SKU19,"Product 19","Description for product 19",709
SKU20,"Product 20","Description for product 20",550
SKU21,"Product 21","Description for product 21",478
SKU22,"Product 22","Description for product 22",305
SKU23,"Product 23","Description for product 23",882
SKU24,"Product 24","Description for product 24",541
SKU25,"Product 25","Description for product 25",131
SKU26,"Product 26","Description for product 26",711
SKU27,"Product 27","Description for product 27",117
SKU28,"Product 28","Description for product 28",648
SKU29,"Product 29","Description for product 29",519
SKU30,"Product 30","Description for product 30",611
SKU31,"Product 31","Description for product 31",223
SKU32,"Product 32","Description for product 32",615
SKU33,"Product 33","Description for product 33",641
SKU34,"Product 34","Description for product 34",451
SKU35,"Product 35","Description for product 35",452
SKU36,"Product 36","Description for product 36",781
SKU37,"Product 37","Description for product 37",849
SKU38,"Product 38","Description for product 38",748
SKU39,"Product 39","Description for product 39",293
SKU40,"Product 40","Description for product 40",800
SKU41,"Product 41","Description for product 41",59
SKU42,"Product 42","Description for product 42",556
SKU43,"Product 43","Description for product 43",328
SKU44,"Product 44","Description for product 44",636
SKU45,"Product 45","Description for product 45",495
SKU46,"Product 46","Description for product 46",884
SKU47,"Product 47","Description for product 47",252
SKU48,"Product 48","Description for product 48",37
SKU49,"Product 49","Description for product 49",262
SKU50,"Product 50","Description for product 50",968
SKU51,"Product 51","Description for product 51",902
SKU52,"Product 52","Description for product 52",26
SKU53,"Product 53","Description for product 53",495
SKU54,"Product 54","Description for product 54",193
SKU55,"Product 55","Description for product 55",134
SKU56,"Product 56","Description for product 56",400
SKU57,"Product 57","Description for product 57",737
SKU58,"Product 58","Description for product 58",807
SKU59,"Product 59","Description for product 59",506
SKU60,"Product 60","Description for product 60",911
SKU61,"Product 61","Description for product 61",675
SKU62,"Product 62","Description for product 62",298
SKU63,"Product 63","Description for product 63",803
SKU64,"Product 64","Description for product 64",185
SKU65,"Product 65","Description for product 65",603
SKU66,"Product 66","Description for product 66",817
SKU67,"Product 67","Description for product 67",757
SKU68,"Product 68","Description for product 68",333
SKU69,"Product 69","Description for product 69",78
SKU70,"Product 70","Description for product 70",909
SKU71,"Product 71","Description for product 71",606
SKU72,"Product 72","Description for product 72",158
SKU73,"Product 73","Description for product 73",958
SKU74,"Product 74","Description for product 74",520
SKU75,"Product 75","Description for product 75",26
SKU76,"Product 76","Description for product 76",774
SKU77,"Product 77","Description for product 77",118
SKU78,"Product 78","Description for product 78",767
SKU79,"Product 79","Description for product 79",868
SKU80,"Product 80","Description for product 80",426
SKU81,"Product 81","Description for product 81",817
SKU82,"Product 82","Description for product 82",330
SKU83,"Product 83","Description for product 83",122
SKU84,"Product 84","Description for product 84",213
SKU85,"Product 85","Description for product 85",480
SKU86,"Product 86","Description for product 86",991
SKU87,"Product 87","Description for product 87",996
SKU88,"Product 88","Description for product 88",404
SKU89,"Product 89","Description for product 89",996
SKU90,"Product 90","Description for product 90",93
SKU91,"Product 91","Description for product 91",296
SKU92,"Product 92","Description for product 92",738
SKU93,"Product 93","Description for product 93",43
SKU94,"Product 94","Description for product 94",734
SKU95,"Product 95","Description for product 95",944
SKU96,"Product 96","Description for product 96",577
SKU97,"Product 97","Description for product 97",791
SKU98,"Product 98","Description for product 98",693
SKU99,"Product 99","Description for product 99",753
SKU100,"Product 100","Description for product 100",416
SKU101,"Product 101","Description for product 101",407
SKU102,"Product 102","Description for product 102",408
SKU103,"Product 103","Description for product 103",537
SKU104,"Product 104","Description for product 104",734
SKU105,"Product 105","Description for product 105",748
SKU106,"Product 106","Description for product 106",46
SKU107,"Product 107","Description for product 107",35
SKU108,"Product 108","Description for product 108",988
SKU109,"Product 109","Description for product 109",903
SKU110,"Product 110","Description for product 110",950
SKU111,"Product 111","Description for product 111",754
SKU112,"Product 112","Description for product 112",489
SKU113,"Product 113","Description for product 113",992
SKU114,"Product 114","Description for product 114",718
SKU115,"Product 115","Description for product 115",937
SKU116,"Product 116","Description for product 116",255
SKU117,"Product 117","Description for product 117",262
SKU118,"Product 118","Description for product 118",14
SKU119,"Product 119","Description for product 119",692
SKU120,"Product 120","Description for product 120",229
SKU121,"Product 121","Description for product 121",44
SKU122,"Product 122","Description for product 122",751
SKU123,"Product 123","Description for product 123",402
SKU124,"Product 124","Description for product 124",24
SKU125,"Product 125","Description for product 125",271
SKU126,"Product 126","Description for product 126",604
