sku,name,description,price
SKU1,"Product 1","Description for product 1",701
SKU2,"Product 2","Description for product 2",620
SKU3,"Product 3","Description for product 3",602
SKU4,"Product 4","Description for product 4",221
SKU5,"Product 5","Description for product 5",99
SKU6,"Product 6","Description for product 6",599
SKU7,"Product 7","Description for product 7",240
SKU8,"Product 8","Description for product 8",179
SKU9,"Product 9","Description for product 9",27
SKU10,"Product 10","Description for product 10",350
SKU11,"Product 11","Description for product 11",22
SKU12,"Product 12","Description for product 12",864
SKU13,"Product 13","Description for product 13",866
SKU14,"Product 14","Description for product 14",631
SKU15,"Product 15","Description for product 15",739
SKU16,"Product 16","Description for product 16",26
SKU17,"Product 17","Description for product 17",799
SKU18,"Product 18","Description for product 18",676
SKU19,"Product 19","Description for product 19",479
SKU20,"Product 20","Description for product 20",172
SKU21,"Product 21","Description for product 21",897
SKU22,"Product 22","Description for product 22",169
SKU23,"Product 23","Description for product 23",181
SKU24,"Product 24","Description for product 24",688
SKU25,"Product 25","Description for product 25",226
SKU26,"Product 26","Description for product 26",336
SKU27,"Product 27","Description for product 27",204
SKU28,"Product 28","Description for product 28",841
SKU29,"Product 29","Description for product 29",637
SKU30,"Product 30","Description for product 30",317
SKU31,"Product 31","Description for product 31",851
SKU32,"Product 32","Description for product 32",593
SKU33,"Product 33","Description for product 33",329
SKU34,"Product 34","Description for product 34",573
SKU35,"Product 35","Description for product 35",256
SKU36,"Product 36","Description for product 36",881
SKU37,"Product 37","Description for product 37",364
SKU38,"Product 38","Description for product 38",370
SKU39,"Product 39","Description for product 39",670
SKU40,"Product 40","Description for product 40",62
SKU41,"Product 41","Description for product 41",768
SKU42,"Product 42","Description for product 42",190
SKU43,"Product 43","Description for product 43",872
SKU44,"Product 44","Description for product 44",362
SKU45,"Product 45","Description for product 45",258
SKU46,"Product 46","Description for product 46",728
SKU47,"Product 47","Description for product 47",229
SKU48,"Product 48","Description for product 48",904
SKU49,"Product 49","Description for product 49",503
SKU50,"Product 50","Description for product 50",333
SKU51,"Product 51","Description for product 51",160
SKU52,"Product 52","Description for product 52",73
SKU53,"Product 53","Description for product 53",953
SKU54,"Product 54","Description for product 54",152
SKU55,"Product 55","Description for product 55",958
SKU56,"Product 56","Description for product 56",515
SKU57,"Product 57","Description for product 57",581
SKU58,"Product 58","Description for product 58",239
SKU59,"Product 59","Description for product 59",947
SKU60,"Product 60","Description for product 60",601
SKU61,"Product 61","Description for product 61",818
SKU62,"Product 62","Description for product 62",744
SKU63,"Product 63","Description for product 63",849
SKU64,"Product 64","Description for product 64",125
SKU65,"Product 65","Description for product 65",133
SKU66,"Product 66","Description for product 66",664
SKU67,"Product 67","Description for product 67",901
SKU68,"Product 68","Description for product 68",156
SKU69,"Product 69","Description for product 69",523
SKU70,"Product 70","Description for product 70",707
SKU71,"Product 71","Description for product 71",421
SKU72,"Product 72","Description for product 72",894
SKU73,"Product 73","Description for product 73",384
SKU74,"Product 74","Description for product 74",819
SKU75,"Product 75","Description for product 75",425
SKU76,"Product 76","Description for product 76",600
SKU77,"Product 77","Description for product 77",163
SKU78,"Product 78","Description for product 78",612
SKU79,"Product 79","Description for product 79",870
SKU80,"Product 80","Description for product 80",583
SKU81,"Product 81","Description for product 81",858
SKU82,"Product 82","Description for product 82",814
SKU83,"Product 83","Description for product 83",394
SKU84,"Product 84","Description for product 84",656
SKU85,"Product 85","Description for product 85",800
SKU86,"Product 86","Description for product 86",898
SKU87,"Product 87","Description for product 87",363
SKU88,"Product 88","Description for product 88",170
SKU89,"Product 89","Description for product 89",204
SKU90,"Product 90","Description for product 90",690
SKU91,"Product 91","Description for product 91",82
SKU92,"Product 92","Description for product 92",252
SKU93,"Product 93","Description for product 93",747
SKU94,"Product 94","Description for product 94",965
SKU95,"Product 95","Description for product 95",780
SKU96,"Product 96","Description for product 96",94
SKU97,"Product 97","Description for product 97",816
SKU98,"Product 98","Description for product 98",100
SKU99,"Product 99","Description for product 99",710
SKU100,"Product 100","Description for product 100",696
SKU101,"Product 101","Description for product 101",752
SKU102,"Product 102","Description for product 102",167
SKU103,"Product 103","Description for product 103",952
SKU104,"Product 104","Description for product 104",83
SKU105,"Product 105","Description for product 105",688
SKU106,"Product 106","Description for product 106",918
SKU107,"Product 107","Description for product 107",149
SKU108,"Product 108","Description for product 108",90
SKU109,"Product 109","Description for product 109",711
SKU110,"Product 110","Description for product 110",673
SKU111,"Product 111","Description for product 111",109
SKU112,"Product 112","Description for product 112",54
SKU113,"Product 113","Description for product 113",294
SKU114,"Product 114","Description for product 114",711
SKU115,"Product 115","Description for product 115",605
SKU116,"Product 116","Description for product 116",309
SKU117,"Product 117","Description for product 117",334
SKU118,"Product 118","Description for product 118",686
SKU119,"Product 119","Description for product 119",645
SKU120,"Product 120","Description for product 120",661
SKU121,"Product 121","Description for product 121",979
SKU122,"Product 122","Description for product 122",864
SKU123,"Product 123","Description for product 123",563
SKU124,"Product 124","Description for product 124",377
SKU125,"Product 125","Description for product 125",375
SKU126,"Product 126","Description for product 126",307
SKU127,"Product 127","Description for product 127",907
SKU128,"Product 128","Description for product 128",606
SKU129,"Product 129","Description for product 129",769
SKU130,"Product 130","Description for product 130",252
SKU131,"Product 131","Description for product 131",334
SKU132,"Product 132","Description for product 132",348
SKU133,"Product 133","Description for product 133",115
SKU134,"Product 134","Description for product 134",130
SKU135,"Product 135","Description for product 135",979
SKU136,"Product 136","Description for product 136",72
SKU137,"Product 137","Description for product 137",729
SKU138,"Product 138","Description for product 138",995
SKU139,"Product 139","Description for product 139",438
SKU140,"Product 140","Description for product 140",219
SKU141,"Product 141","Description for product 141",357
SKU142,"Product 142","Description for product 142",492
SKU143,"Product 143","Description for product 143",541
SKU144,"Product 144","Description for product 144",407
SKU145,"Product 145","Description for product 145",192
SKU146,"Product 146","Description for product 146",727
SKU147,"Product 147","Description for product 147",323
SKU148,"Product 148","Description for product 148",646
SKU149,"Product 149","Description for product 149",595
SKU150,"Product 150","Description for product 150",191
SKU151,"Product 151","Description for product 151",154
SKU152,"Product 152","Description for product 152",51
SKU153,"Product 153","Description for product 153",819
SKU154,"Product 154","Description for product 154",525
SKU155,"Product 155","Description for product 155",149
SKU156,"Product 156","Description for product 156",202
SKU157,"Product 157","Description for product 157",912
SKU158,"Product 158","Description for product 158",415
SKU159,"Product 159","Description for product 159",994
SKU160,"Product 160","Description for product 160",714
SKU161,"Product 161","Description for product 161",387
SKU162,"Product 162","Description for product 162",592
SKU163,"Product 163","Description for product 163",924
SKU164,"Product 164","Description for product 164",648
SKU165,"Product 165","Description for product 165",687
SKU166,"Product 166","Description for product 166",723
SKU167,"Product 167","Description for product 167",901
SKU168,"Product 168","Description for product 168",317
SKU169,"Product 169","Description for product 169",877
SKU170,"Product 170","Description for product 170",258
SKU171,"Product 171","Description for product 171",709
SKU172,"Product 172","Description for product 172",522
SKU173,"Product 173","Description for product 173",140
SKU174,"Product 174","Description for product 174",881
SKU175,"Product 175","Description for product 175",590
SKU176,"Product 176","Description for product 176",759
SKU177,"Product 177","Description for product 177",506
SKU178,"Product 178","Description for product 178",657
SKU179,"Product 179","Description for product 179",765
SKU180,"Product 180","Description for product 180",88
SKU181,"Product 181","Description for product 181",467
SKU182,"Product 182","Description for product 182",781
SKU183,"Product 183","Description for product 183",528
SKU184,"Product 184","Description for product 184",90
SKU185,"Product 185","Description for product 185",244
SKU186,"Product 186","Description for product 186",810
SKU187,"Product 187","Description for product 187",628
SKU188,"Product 188","Description for product 188",748
SKU189,"Product 189","Description for product 189",436
SKU190,"Product 190","Description for product 190",163
SKU191,"Product 191","Description for product 191",897
SKU192,"Product 192","Description for product 192",425
SKU193,"Product 193","Description for product 193",744
SKU194,"Product 194","Description for product 194",183
SKU195,"Product 195","Description for product 195",61
SKU196,"Product 196","Description for product 196",170
SKU197,"Product 197","Description for product 197",17
SKU198,"Product 198","Description for product 198",168
SKU199,"Product 199","Description for product 199",602
SKU200,"Product 200","Description for product 200",22
SKU201,"Product 201","Description for product 201",463
SKU202,"Product 202","Description for product 202",475
SKU203,"Product 203","Description for product 203",779
SKU204,"Product 204","Description for product 204",503
SKU205,"Product 205","Description for product 205",482
SKU206,"Product 206","Description for product 206",774
SKU207,"Product 207","Description for product 207",830
SKU208,"Product 208","Description for product 208",319
SKU209,"Product 209","Description for product 209",630
SKU210,"Product 210","Description for product 210",333
SKU211,"Product 211","Description for product 211",263
SKU212,"Product 212","Description for product 212",567
SKU213,"Product 213","Description for product 213",715
SKU214,"Product 214","Description for product 214",795
SKU215,"Product 215","Description for product 215",615
SKU216,"Product 216","Description for product 216",187
SKU217,"Product 217","Description for product 217",904
SKU218,"Product 218","Description for product 218",699
SKU219,"Product 219","Description for product 219",109
SKU220,"Product 220","Description for product 220",114
SKU221,"Product 221","Description for product 221",857
SKU222,"Product 222","Description for product 222",716
SKU223,"Product 223","Description for product 223",722
SKU224,"Product 224","Description for product 224",948
SKU225,"Product 225","Description for product 225",286
SKU226,"Product 226","Description for product 226",716
SKU227,"Product 227","Description for product 227",257
SKU228,"Product 228","Description for product 228",192
SKU229,"Product 229","Description for product 229",961
SKU230,"Product 230","Description for product 230",294
SKU231,"Product 231","Description for product 231",197
SKU232,"Product 232","Description for product 232",400
SKU233,"Product 233","Description for product 233",848
SKU234,"Product 234","Description for product 234",54
SKU235,"Product 235","Description for product 235",699
SKU236,"Product 236","Description for product 236",794
SKU237,"Product 237","Description for product 237",90
SKU238,"Product 238","Description for product 238",729
SKU239,"Product 239","Description for product 239",119
SKU240,"Product 240","Description for product 240",778
SKU241,"Product 241","Description for product 241",612
SKU242,"Product 242","Description for product 242",70
SKU243,"Product 243","Description for product 243",32
SKU244,"Product 244","Description for product 244",291
SKU245,"Product 245","Description for product 245",705
SKU246,"Product 246","Description for product 246",596
SKU247,"Product 247","Description for product 247",350
SKU248,"Product 248","Description for product 248",951
SKU249,"Product 249","Description for product 249",33
SKU250,"Product 250","Description for product 250",209
SKU251,"Product 251","Description for product 251",661
SKU252,"Product 252","Description for product 252",238
SKU253,"Product 253","Description for product 253",703
SKU254,"Product 254","Description for product 254",809
SKU255,"Product 255","Description for product 255",399
SKU256,"Product 256","Description for product 256",669
SKU257,"Product 257","Description for product 257",888
SKU258,"Product 258","Description for product 258",627
SKU259,"Product 259","Description for product 259",267
SKU260,"Product 260","Description for product 260",649
SKU261,"Product 261","Description for product 261",151
SKU262,"Product 262","Description for product 262",430
SKU263,"Product 263","Description for product 263",802
SKU264,"Product 264","Description for product 264",636
SKU265,"Product 265","Description for product 265",845
SKU266,"Product 266","Description for product 266",349
SKU267,"Product 267","Description for product 267",340
SKU268,"Product 268","Description for product 268",460
SKU269,"Product 269","Description for product 269",204
SKU270,"Product 270","Description for product 270",49
SKU271,"Product 271","Description for product 271",905
SKU272,"Product 272","Description for product 272",154
SKU273,"Product 273","Description for product 273",521
SKU274,"Product 274","Description for product 274",559
SKU275,"Product 275","Description for product 275",921
SKU276,"Product 276","Description for product 276",618
SKU277,"Product 277","Description for product 277",840
SKU278,"Product 278","Description for product 278",512
SKU279,"Product 279","Description for product 279",631
SKU280,"Product 280","Description for product 280",53
SKU281,"Product 281","Description for product 281",540
SKU282,"Product 282","Description for product 282",807
SKU283,"Product 283","Description for product 283",953
SKU284,"Product 284","Description for product 284",632
SKU285,"Product 285","Description for product 285",383
SKU286,"Product 286","Description for product 286",644
SKU287,"Product 287","Description for product 287",256
SKU288,"Product 288","Description for product 288",723
SKU289,"Product 289","Description for product 289",524
SKU290,"Product 290","Description for product 290",304
SKU291,"Product 291","Description for product 291",755
SKU292,"Product 292","Description for product 292",441
SKU293,"Product 293","Description for product 293",103
SKU294,"Product 294","Description for product 294",881
SKU295,"Product 295","Description for product 295",482
SKU296,"Product 296","Description for product 296",468
SKU297,"Product 297","Description for product 297",405
SKU298,"Product 298","Description for product 298",403
SKU299,"Product 299","Description for product 299",718
SKU300,"Product 300","Description for product 300",378
SKU301,"Product 301","Description for product 301",868
SKU302,"Product 302","Description for product 302",763
SKU303,"Product 303","Description for product 303",793
SKU304,"Product 304","Description for product 304",435
SKU305,"Product 305","Description for product 305",437
SKU306,"Product 306","Description for product 306",863
SKU307,"Product 307","Description for product 307",792
SKU308,"Product 308","Description for product 308",313
SKU309,"Product 309","Description for product 309",543
SKU310,"Product 310","Description for product 310",399
SKU311,"Product 311","Description for product 311",54
SKU312,"Product 312","Description for product 312",339
