sku,name,description,price
SKU1,"Product 1","Description for product 1",787
SKU2,"Product 2","Description for product 2",676
SKU3,"Product 3","Description for product 3",449
SKU4,"Product 4","Description for product 4",403
SKU5,"Product 5","Description for product 5",601
SKU6,"Product 6","Description for product 6",758
SKU7,"Product 7","Description for product 7",828
SKU8,"Product 8","Description for product 8",495
SKU9,"Product 9","Description for product 9",937
SKU10,"Product 10","Description for product 10",608
SKU11,"Product 11","Description for product 11",117
SKU12,"Product 12","Description for product 12",67
SKU13,"Product 13","Description for product 13",568
SKU14,"Product 14","Description for product 14",812
SKU15,"Product 15","Description for product 15",980
SKU16,"Product 16","Description for product 16",452
SKU17,"Product 17","Description for product 17",719
SKU18,"Product 18","Description for product 18",372
SKU19,"Product 19","Description for product 19",393
SKU20,"Product 20","Description for product 20",510
SKU21,"Product 21","Description for product 21",801
SKU22,"Product 22","Description for product 22",333
SKU23,"Product 23","Description for product 23",911
SKU24,"Product 24","Description for product 24",555
SKU25,"Product 25","Description for product 25",832
SKU26,"Product 26","Description for product 26",557
SKU27,"Product 27","Description for product 27",84
SKU28,"Product 28","Description for product 28",969
SKU29,"Product 29","Description for product 29",416
SKU30,"Product 30","Description for product 30",171
SKU31,"Product 31","Description for product 31",84
SKU32,"Product 32","Description for product 32",933
SKU33,"Product 33","Description for product 33",625
SKU34,"Product 34","Description for product 34",464
SKU35,"Product 35","Description for product 35",251
SKU36,"Product 36","Description for product 36",437
SKU37,"Product 37","Description for product 37",405
SKU38,"Product 38","Description for product 38",120
SKU39,"Product 39","Description for product 39",356
SKU40,"Product 40","Description for product 40",443
SKU41,"Product 41","Description for product 41",310
SKU42,"Product 42","Description for product 42",180
SKU43,"Product 43","Description for product 43",478
SKU44,"Product 44","Description for product 44",696
SKU45,"Product 45","Description for product 45",622
SKU46,"Product 46","Description for product 46",488
SKU47,"Product 47","Description for product 47",342
SKU48,"Product 48","Description for product 48",724
SKU49,"Product 49","Description for product 49",979
SKU50,"Product 50","Description for product 50",975
SKU51,"Product 51","Description for product 51",444
SKU52,"Product 52","Description for product 52",719
SKU53,"Product 53","Description for product 53",507
SKU54,"Product 54","Description for product 54",740
SKU55,"Product 55","Description for product 55",104
SKU56,"Product 56","Description for product 56",679
SKU57,"Product 57","Description for product 57",626
SKU58,"Product 58","Description for product 58",675
SKU59,"Product 59","Description for product 59",588
SKU60,"Product 60","Description for product 60",504
SKU61,"Product 61","Description for product 61",931
SKU62,"Product 62","Description for product 62",633
SKU63,"Product 63","Description for product 63",353
SKU64,"Product 64","Description for product 64",346
SKU65,"Product 65","Description for product 65",320
SKU66,"Product 66","Description for product 66",469
SKU67,"Product 67","Description for product 67",94
SKU68,"Product 68","Description for product 68",515
SKU69,"Product 69","Description for product 69",718
SKU70,"Product 70","Description for product 70",420
SKU71,"Product 71","Description for product 71",51
SKU72,"Product 72","Description for product 72",722
SKU73,"Product 73","Description for product 73",118
SKU74,"Product 74","Description for product 74",765
SKU75,"Product 75","Description for product 75",434
SKU76,"Product 76","Description for product 76",343
SKU77,"Product 77","Description for product 77",818
SKU78,"Product 78","Description for product 78",176
SKU79,"Product 79","Description for product 79",21
SKU80,"Product 80","Description for product 80",719
SKU81,"Product 81","Description for product 81",305
SKU82,"Product 82","Description for product 82",992
SKU83,"Product 83","Description for product 83",450
SKU84,"Product 84","Description for product 84",596
SKU85,"Product 85","Description for product 85",536
SKU86,"Product 86","Description for product 86",664
SKU87,"Product 87","Description for product 87",73
SKU88,"Product 88","Description for product 88",368
SKU89,"Product 89","Description for product 89",41
SKU90,"Product 90","Description for product 90",436
SKU91,"Product 91","Description for product 91",310
SKU92,"Product 92","Description for product 92",443
SKU93,"Product 93","Description for product 93",419
SKU94,"Product 94","Description for product 94",629
SKU95,"Product 95","Description for product 95",128
SKU96,"Product 96","Description for product 96",886
SKU97,"Product 97","Description for product 97",736
SKU98,"Product 98","Description for product 98",15
SKU99,"Product 99","Description for product 99",193
SKU100,"Product 100","Description for product 100",90
SKU101,"Product 101","Description for product 101",969
SKU102,"Product 102","Description for product 102",111
SKU103,"Product 103","Description for product 103",78
SKU104,"Product 104","Description for product 104",111
SKU105,"Product 105","Description for product 105",350
SKU106,"Product 106","Description for product 106",314
SKU107,"Product 107","Description for product 107",883
SKU108,"Product 108","Description for product 108",63
SKU109,"Product 109","Description for product 109",967
SKU110,"Product 110","Description for product 110",110
SKU111,"Product 111","Description for product 111",378
SKU112,"Product 112","Description for product 112",587
SKU113,"Product 113","Description for product 113",744
SKU114,"Product 114","Description for product 114",603
SKU115,"Product 115","Description for product 115",341
SKU116,"Product 116","Description for product 116",561
SKU117,"Product 117","Description for product 117",477
SKU118,"Product 118","Description for product 118",348
SKU119,"Product 119","Description for product 119",163
SKU120,"Product 120","Description for product 120",439
SKU121,"Product 121","Description for product 121",663
SKU122,"Product 122","Description for product 122",898
SKU123,"Product 123","Description for product 123",82
SKU124,"Product 124","Description for product 124",287
SKU125,"Product 125","Description for product 125",460
SKU126,"Product 126","Description for product 126",752
SKU127,"Product 127","Description for product 127",785
SKU128,"Product 128","Description for product 128",267
SKU129,"Product 129","Description for product 129",393
SKU130,"Product 130","Description for product 130",810
SKU131,"Product 131","Description for product 131",87
SKU132,"Product 132","Description for product 132",877
SKU133,"Product 133","Description for product 133",541
SKU134,"Product 134","Description for product 134",804
SKU135,"Product 135","Description for product 135",190
SKU136,"Product 136","Description for product 136",821
SKU137,"Product 137","Description for product 137",122
SKU138,"Product 138","Description for product 138",250
SKU139,"Product 139","Description for product 139",555
SKU140,"Product 140","Description for product 140",363
SKU141,"Product 141","Description for product 141",912
SKU142,"Product 142","Description for product 142",760
SKU143,"Product 143","Description for product 143",944
SKU144,"Product 144","Description for product 144",457
SKU145,"Product 145","Description for product 145",498
SKU146,"Product 146","Description for product 146",160
SKU147,"Product 147","Description for product 147",754
SKU148,"Product 148","Description for product 148",526
SKU149,"Product 149","Description for product 149",320
SKU150,"Product 150","Description for product 150",953
SKU151,"Product 151","Description for product 151",150
SKU152,"Product 152","Description for product 152",312
SKU153,"Product 153","Description for product 153",619
SKU154,"Product 154","Description for product 154",487
SKU155,"Product 155","Description for product 155",887
SKU156,"Product 156","Description for product 156",448
SKU157,"Product 157","Description for product 157",679
SKU158,"Product 158","Description for product 158",590
SKU159,"Product 159","Description for product 159",922
SKU160,"Product 160","Description for product 160",461
SKU161,"Product 161","Description for product 161",791
SKU162,"Product 162","Description for product 162",770
SKU163,"Product 163","Description for product 163",325
SKU164,"Product 164","Description for product 164",138
SKU165,"Product 165","Description for product 165",331
SKU166,"Product 166","Description for product 166",324
SKU167,"Product 167","Description for product 167",221
SKU168,"Product 168","Description for product 168",734
SKU169,"Product 169","Description for product 169",18
SKU170,"Product 170","Description for product 170",289
SKU171,"Product 171","Description for product 171",663
SKU172,"Product 172","Description for product 172",846
SKU173,"Product 173","Description for product 173",789
SKU174,"Product 174","Description for product 174",855
SKU175,"Product 175","Description for product 175",143
SKU176,"Product 176","Description for product 176",450
SKU177,"Product 177","Description for product 177",244
SKU178,"Product 178","Description for product 178",71
SKU179,"Product 179","Description for product 179",851
SKU180,"Product 180","Description for product 180",81
SKU181,"Product 181","Description for product 181",838
SKU182,"Product 182","Description for product 182",900
SKU183,"Product 183","Description for product 183",98
SKU184,"Product 184","Description for product 184",716
SKU185,"Product 185","Description for product 185",596
SKU186,"Product 186","Description for product 186",587
SKU187,"Product 187","Description for product 187",936
SKU188,"Product 188","Description for product 188",887
SKU189,"Product 189","Description for product 189",340
SKU190,"Product 190","Description for product 190",26
SKU191,"Product 191","Description for product 191",231
SKU192,"Product 192","Description for product 192",741
SKU193,"Product 193","Description for product 193",617
SKU194,"Product 194","Description for product 194",366
SKU195,"Product 195","Description for product 195",317
SKU196,"Product 196","Description for product 196",447
SKU197,"Product 197","Description for product 197",738
SKU198,"Product 198","Description for product 198",857
SKU199,"Product 199","Description for product 199",220
SKU200,"Product 200","Description for product 200",279
SKU201,"Product 201","Description for product 201",828
SKU202,"Product 202","Description for product 202",206
SKU203,"Product 203","Description for product 203",607
SKU204,"Product 204","Description for product 204",226
SKU205,"Product 205","Description for product 205",20
SKU206,"Product 206","Description for product 206",353
SKU207,"Product 207","Description for product 207",336
SKU208,"Product 208","Description for product 208",727
SKU209,"Product 209","Description for product 209",102
SKU210,"Product 210","Description for product 210",189
SKU211,"Product 211","Description for product 211",417
SKU212,"Product 212","Description for product 212",309
SKU213,"Product 213","Description for product 213",72
SKU214,"Product 214","Description for product 214",169
SKU215,"Product 215","Description for product 215",914
SKU216,"Product 216","Description for product 216",812
SKU217,"Product 217","Description for product 217",83
SKU218,"Product 218","Description for product 218",568
SKU219,"Product 219","Description for product 219",147
SKU220,"Product 220","Description for product 220",454
SKU221,"Product 221","Description for product 221",160
SKU222,"Product 222","Description for product 222",908
SKU223,"Product 223","Description for product 223",875
SKU224,"Product 224","Description for product 224",768
SKU225,"Product 225","Description for product 225",567
SKU226,"Product 226","Description for product 226",267
SKU227,"Product 227","Description for product 227",649
SKU228,"Product 228","Description for product 228",126
SKU229,"Product 229","Description for product 229",122
SKU230,"Product 230","Description for product 230",311
SKU231,"Product 231","Description for product 231",500
SKU232,"Product 232","Description for product 232",984
SKU233,"Product 233","Description for product 233",71
SKU234,"Product 234","Description for product 234",327
SKU235,"Product 235","Description for product 235",987
SKU236,"Product 236","Description for product 236",51
SKU237,"Product 237","Description for product 237",368
SKU238,"Product 238","Description for product 238",87
SKU239,"Product 239","Description for product 239",355
SKU240,"Product 240","Description for product 240",12
SKU241,"Product 241","Description for product 241",715
SKU242,"Product 242","Description for product 242",828
SKU243,"Product 243","Description for product 243",96
SKU244,"Product 244","Description for product 244",551
SKU245,"Product 245","Description for product 245",826
SKU246,"Product 246","Description for product 246",283
SKU247,"Product 247","Description for product 247",534
SKU248,"Product 248","Description for product 248",483
SKU249,"Product 249","Description for product 249",253
SKU250,"Product 250","Description for product 250",849
SKU251,"Product 251","Description for product 251",781
SKU252,"Product 252","Description for product 252",642
SKU253,"Product 253","Description for product 253",527
SKU254,"Product 254","Description for product 254",577
SKU255,"Product 255","Description for product 255",216
SKU256,"Product 256","Description for product 256",913
SKU257,"Product 257","Description for product 257",83
SKU258,"Product 258","Description for product 258",804
SKU259,"Product 259","Description for product 259",853
SKU260,"Product 260","Description for product 260",439
SKU261,"Product 261","Description for product 261",17
SKU262,"Product 262","Description for product 262",641
SKU263,"Product 263","Description for product 263",993
SKU264,"Product 264","Description for product 264",78
SKU265,"Product 265","Description for product 265",190
SKU266,"Product 266","Description for product 266",643
SKU267,"Product 267","Description for product 267",254
SKU268,"Product 268","Description for product 268",367
SKU269,"Product 269","Description for product 269",302
SKU270,"Product 270","Description for product 270",88
SKU271,"Product 271","Description for product 271",373
SKU272,"Product 272","Description for product 272",565
SKU273,"Product 273","Description for product 273",64
SKU274,"Product 274","Description for product 274",494
SKU275,"Product 275","Description for product 275",388
SKU276,"Product 276","Description for product 276",538
SKU277,"Product 277","Description for product 277",154
SKU278,"Product 278","Description for product 278",164
SKU279,"Product 279","Description for product 279",764
SKU280,"Product 280","Description for product 280",922
SKU281,"Product 281","Description for product 281",792
SKU282,"Product 282","Description for product 282",450
SKU283,"Product 283","Description for product 283",87
SKU284,"Product 284","Description for product 284",45
SKU285,"Product 285","Description for product 285",628
SKU286,"Product 286","Description for product 286",100
SKU287,"Product 287","Description for product 287",711
SKU288,"Product 288","Description for product 288",816
SKU289,"Product 289","Description for product 289",636
SKU290,"Product 290","Description for product 290",72
SKU291,"Product 291","Description for product 291",245
SKU292,"Product 292","Description for product 292",470
SKU293,"Product 293","Description for product 293",792
SKU294,"Product 294","Description for product 294",881
SKU295,"Product 295","Description for product 295",824
SKU296,"Product 296","Description for product 296",220
SKU297,"Product 297","Description for product 297",166
SKU298,"Product 298","Description for product 298",756
SKU299,"Product 299","Description for product 299",114
SKU300,"Product 300","Description for product 300",691
SKU301,"Product 301","Description for product 301",119
SKU302,"Product 302","Description for product 302",933
SKU303,"Product 303","Description for product 303",663
SKU304,"Product 304","Description for product 304",847
SKU305,"Product 305","Description for product 305",404
SKU306,"Product 306","Description for product 306",519
SKU307,"Product 307","Description for product 307",346
SKU308,"Product 308","Description for product 308",11
SKU309,"Product 309","Description for product 309",225
SKU310,"Product 310","Description for product 310",468
SKU311,"Product 311","Description for product 311",571
SKU312,"Product 312","Description for product 312",263
SKU313,"Product 313","Description for product 313",192
SKU314,"Product 314","Description for product 314",440
SKU315,"Product 315","Description for product 315",207
SKU316,"Product 316","Description for product 316",698
SKU317,"Product 317","Description for product 317",475
SKU318,"Product 318","Description for product 318",139
SKU319,"Product 319","Description for product 319",223
SKU320,"Product 320","Description for product 320",959
SKU321,"Product 321","Description for product 321",162
SKU322,"Product 322","Description for product 322",541
SKU323,"Product 323","Description for product 323",36
SKU324,"Product 324","Description for product 324",31
SKU325,"Product 325","Description for product 325",137
SKU326,"Product 326","Description for product 326",412
SKU327,"Product 327","Description for product 327",741
SKU328,"Product 328","Description for product 328",248
SKU329,"Product 329","Description for product 329",635
SKU330,"Product 330","Description for product 330",255
SKU331,"Product 331","Description for product 331",673
SKU332,"Product 332","Description for product 332",280
SKU333,"Product 333","Description for product 333",268
SKU334,"Product 334","Description for product 334",897
SKU335,"Product 335","Description for product 335",102
SKU336,"Product 336","Description for product 336",302
SKU337,"Product 337","Description for product 337",198
SKU338,"Product 338","Description for product 338",897
SKU339,"Product 339","Description for product 339",393
SKU340,"Product 340","Description for product 340",896
SKU341,"Product 341","Description for product 341",783
SKU342,"Product 342","Description for product 342",854
SKU343,"Product 343","Description for product 343",172
SKU344,"Product 344","Description for product 344",582
SKU345,"Product 345","Description for product 345",671
SKU346,"Product 346","Description for product 346",954
SKU347,"Product 347","Description for product 347",333
SKU348,"Product 348","Description for product 348",471
SKU349,"Product 349","Description for product 349",323
SKU350,"Product 350","Description for product 350",38
SKU351,"Product 351","Description for product 351",30
SKU352,"Product 352","Description for product 352",647
SKU353,"Product 353","Description for product 353",945
SKU354,"Product 354","Description for product 354",600
SKU355,"Product 355","Description for product 355",650
SKU356,"Product 356","Description for product 356",466
SKU357,"Product 357","Description for product 357",177
SKU358,"Product 358","Description for product 358",529
SKU359,"Product 359","Description for product 359",42
SKU360,"Product 360","Description for product 360",560
SKU361,"Product 361","Description for product 361",754
SKU362,"Product 362","Description for product 362",208
SKU363,"Product 363","Description for product 363",49
SKU364,"Product 364","Description for product 364",630
SKU365,"Product 365","Description for product 365",615
SKU366,"Product 366","Description for product 366",404
SKU367,"Product 367","Description for product 367",983
SKU368,"Product 368","Description for product 368",537
SKU369,"Product 369","Description for product 369",457
SKU370,"Product 370","Description for product 370",794
SKU371,"Product 371","Description for product 371",334
SKU372,"Product 372","Description for product 372",322
SKU373,"Product 373","Description for product 373",774
SKU374,"Product 374","Description for product 374",821
SKU375,"Product 375","Description for product 375",294
SKU376,"Product 376","Description for product 376",761
SKU377,"Product 377","Description for product 377",189
SKU378,"Product 378","Description for product 378",232
SKU379,"Product 379","Description for product 379",552
SKU380,"Product 380","Description for product 380",661
SKU381,"Product 381","Description for product 381",723
SKU382,"Product 382","Description for product 382",91
SKU383,"Product 383","Description for product 383",946
SKU384,"Product 384","Description for product 384",751
SKU385,"Product 385","Description for product 385",795
SKU386,"Product 386","Description for product 386",36
SKU387,"Product 387","Description for product 387",520
SKU388,"Product 388","Description for product 388",754
SKU389,"Product 389","Description for product 389",431
SKU390,"Product 390","Description for product 390",435
SKU391,"Product 391","Description for product 391",835
SKU392,"Product 392","Description for product 392",809
SKU393,"Product 393","Description for product 393",83
SKU394,"Product 394","Description for product 394",849
SKU395,"Product 395","Description for product 395",758
SKU396,"Product 396","Description for product 396",109
SKU397,"Product 397","Description for product 397",295
SKU398,"Product 398","Description for product 398",672
SKU399,"Product 399","Description for product 399",673
SKU400,"Product 400","Description for product 400",246
SKU401,"Product 401","Description for product 401",733
SKU402,"Product 402","Description for product 402",452
SKU403,"Product 403","Description for product 403",302
SKU404,"Product 404","Description for product 404",929
SKU405,"Product 405","Description for product 405",847
SKU406,"Product 406","Description for product 406",991
SKU407,"Product 407","Description for product 407",430
SKU408,"Product 408","Description for product 408",254
SKU409,"Product 409","Description for product 409",215
SKU410,"Product 410","Description for product 410",357
SKU411,"Product 411","Description for product 411",586
SKU412,"Product 412","Description for product 412",754
SKU413,"Product 413","Description for product 413",610
SKU414,"Product 414","Description for product 414",541
SKU415,"Product 415","Description for product 415",758
SKU416,"Product 416","Description for product 416",764
SKU417,"Product 417","Description for product 417",125
SKU418,"Product 418","Description for product 418",318
SKU419,"Product 419","Description for product 419",760
SKU420,"Product 420","Description for product 420",143
SKU421,"Product 421","Description for product 421",906
SKU422,"Product 422","Description for product 422",955
SKU423,"Product 423","Description for product 423",84
SKU424,"Product 424","Description for product 424",416
SKU425,"Product 425","Description for product 425",638
SKU426,"Product 426","Description for product 426",752
SKU427,"Product 427","Description for product 427",923
SKU428,"Product 428","Description for product 428",865
SKU429,"Product 429","Description for product 429",370
SKU430,"Product 430","Description for product 430",458
SKU431,"Product 431","Description for product 431",173
SKU432,"Product 432","Description for product 432",413
SKU433,"Product 433","Description for product 433",967
SKU434,"Product 434","Description for product 434",751
SKU435,"Product 435","Description for product 435",115
SKU436,"Product 436","Description for product 436",70
SKU437,"Product 437","Description for product 437",707
SKU438,"Product 438","Description for product 438",875
SKU439,"Product 439","Description for product 439",241
SKU440,"Product 440","Description for product 440",527
SKU441,"Product 441","Description for product 441",651
SKU442,"Product 442","Description for product 442",902
SKU443,"Product 443","Description for product 443",58
SKU444,"Product 444","Description for product 444",300
SKU445,"Product 445","Description for product 445",807
SKU446,"Product 446","Description for product 446",254
SKU447,"Product 447","Description for product 447",119
SKU448,"Product 448","Description for product 448",859
SKU449,"Product 449","Description for product 449",948
SKU450,"Product 450","Description for product 450",738
SKU451,"Product 451","Description for product 451",76
SKU452,"Product 452","Description for product 452",389
SKU453,"Product 453","Description for product 453",227
SKU454,"Product 454","Description for product 454",875
SKU455,"Product 455","Description for product 455",587
SKU456,"Product 456","Description for product 456",785
SKU457,"Product 457","Description for product 457",329
SKU458,"Product 458","Description for product 458",516
SKU459,"Product 459","Description for product 459",931
SKU460,"Product 460","Description for product 460",669
SKU461,"Product 461","Description for product 461",789
SKU462,"Product 462","Description for product 462",509
SKU463,"Product 463","Description for product 463",320
SKU464,"Product 464","Description for product 464",181
SKU465,"Product 465","Description for product 465",278
SKU466,"Product 466","Description for product 466",753
SKU467,"Product 467","Description for product 467",194
SKU468,"Product 468","Description for product 468",88
SKU469,"Product 469","Description for product 469",557
SKU470,"Product 470","Description for product 470",50
SKU471,"Product 471","Description for product 471",790
SKU472,"Product 472","Description for product 472",719
SKU473,"Product 473","Description for product 473",242
SKU474,"Product 474","Description for product 474",935
SKU475,"Product 475","Description for product 475",372
SKU476,"Product 476","Description for product 476",847
SKU477,"Product 477","Description for product 477",837
SKU478,"Product 478","Description for product 478",732
SKU479,"Product 479","Description for product 479",269
SKU480,"Product 480","Description for product 480",594
SKU481,"Product 481","Description for product 481",297
SKU482,"Product 482","Description for product 482",992
SKU483,"Product 483","Description for product 483",632
SKU484,"Product 484","Description for product 484",433
SKU485,"Product 485","Description for product 485",125
SKU486,"Product 486","Description for product 486",603
SKU487,"Product 487","Description for product 487",965
SKU488,"Product 488","Description for product 488",55
SKU489,"Product 489","Description for product 489",166
